Name,Latitude,Longitude,Elevation_m,Type
Говерла,48.1602098,24.4999403,2061,Вершина
Бребенескул,48.0976087,24.5800005,2038,Вершина
Петрос,48.1720069,24.4214656,2020,Вершина
Гутин Томнатик,48.0994397,24.5566509,2016,Вершина
Піп Іван Чорногірський,48.0469688,24.6275136,2002,Вершина
Ребра,48.1111947,24.5585636,2001,Вершина
Менчул,48.0906494,24.5955542,1998,Вершина
Туркул,48.1234886,24.5305076,1933,Вершина
Брескул,48.1503339,24.5105442,1911,Вершина
Смотрич,48.0692062,24.6440549,1898,Вершина
Дземброня,48.0762076,24.6054002,1877,Вершина
Вухатий Камінь,48.0733887,24.6348292,1864,Вершина
Шпиці,48.125624,24.567254,1863,Вершина
Данциж,48.1352947,24.5314687,1855,Вершина
Петросул,48.1805218,24.4180355,1848,Вершина
Полонина Лемська,48.0818375,24.5726005,1825,Вершина
Пожижевська,48.1443145,24.523551,1822,Вершина
Гомул,48.1359414,24.5625934,1787,Вершина
Близниця Велика,48.2225062,24.2312555,1881,Вершина
Шурин,48.0312659,24.648195,1773,Вершина
Близниця,48.2163124,24.2377812,1872,Вершина
Мала Говерла,48.1682001,24.506023,1762,Вершина
Стайки,48.0542489,24.678972,1743,Вершина
Васкул,48.0367735,24.6117615,1730,Вершина
Микулєска,48.0611527,24.6676027,1728,Вершина
Жандарм Другий,48.2279056,24.2289764,1785,Вершина
Великий Котел,48.2710587,24.2031152,1770,Вершина
Жандарм,48.2320941,24.2304625,1763,Вершина
Геришаска,48.2737882,24.1621376,1762,Вершина
Догяска,48.2675217,24.1618444,1761,Вершина
Довбушанка,48.4250168,24.3744701,1754,Вершина
Степанець,48.0966866,24.6229337,1650,Вершина
Pop Ivan / Піп Іван Мармароський,47.9238143,24.3279193,1938,Вершина
Ведмежик,48.4324861,24.3588375,1736,Вершина
Ворожеска,48.2751171,24.1873365,1731,Вершина
Шешул,48.1502492,24.3671177,1728,Вершина
Павлик,48.1600854,24.3765867,1722,Вершина
Чорна Клива,48.3501656,24.2564699,1719,Вершина
Гнатася,47.7455365,24.8805413,1766,Вершина
Чивчин,47.8646457,24.7102769,1766,Вершина
Жандарм Третій,48.2273625,24.2215093,1710,Вершина
